Hole ID,Depth (mbsf),*Corrected Depth Below Sea Level (DS),Interpolated ages from graphs // coral samples (ka BP),K (Bq/kg),U (Bq/kg),Th (Bq/kg),TGR TP cps
M0031A,0.07,90.97,11.96,12.5633,-0.341568,0.513132,3.79079
M0031A,0.17,91.07,11.99,10.5335,-0.403401,0.959331,4.0043
M0031A,0.27,91.17,12.01,20.9302,0.778313,-0.0451606,5.86085
M0031A,0.37,91.27,12.03,-0.856355,-0.171721,1.33057,4.33895
M0031A,0.47,91.37,12.06,-9.95494,2.39649,0.743388,4.5597
M0031A,0.57,91.47,12.08,29.0619,0.0999667,0.115091,5.32449
M0031A,0.67,91.57,12.11,7.69741,1.86248,0.0258393,6.98888
M0031A,0.77,91.67,12.13,22.6859,0.579579,0.28675,6.06087
M0031A,0.87,91.77,12.16,-2.43344,2.2283,0.232625,5.17673
M0031A,0.97,91.87,12.18,9.70719,4.62998,-1.38605,8.02618
M0031A,1.07,91.97,12.21,-10.4528,5.34772,0.216115,6.67993
M0031A,1.17,92.07,12.23,6.62886,1.84101,-0.0358796,7.1123
M0031A,1.27,92.17,12.26,-0.00791284,0.953227,1.94652,7.08883
M0031A,1.37,92.27,12.28,16.9963,-0.578642,1.35127,6.86828
M0031A,1.47,92.37,12.31,29.0171,0.0566153,-0.00918294,6.16252
M0031A,1.57,92.47,12.33,6.08069,2.54347,-0.265099,7.66501
M0031A,1.67,92.57,12.36,3.30575,0.912655,-0.0424665,4.22428
M0031A,1.77,92.67,12.38,-2.64629,2.05298,0.208943,5.35764
M0031A,1.87,92.77,12.40,8.7281,1.83491,0.247274,6.09845
M0031A,1.97,92.87,12.43,22.8453,1.11527,0.00765038,7.17518
M0031A,2.07,92.97,12.45,7.51671,0.332212,1.31834,6.48316
M0031A,2.17,93.07,12.48,14.7198,1.72895,-0.0250036,7.46107
M0031A,2.27,93.17,12.50,5.83695,1.26399,0.309523,4.60576
M0031A,2.37,93.27,12.53,0.520149,0.874822,1.49795,6.29822
M0031A,2.47,93.37,12.55,2.76358,3.30031,-1.24225,6.32711
M0031A,2.57,93.47,12.58,10.6132,1.99672,-0.535785,5.12501
M0031A,2.67,93.57,12.60,4.51005,1.98014,0.414929,5.7017
M0031A,2.77,93.67,12.63,32.4836,4.08252,-2.949,4.78274
M0031A,2.87,93.77,12.65,16.1735,3.32453,-1.26487,6.92008
M0031A,2.97,93.87,12.68,16.2173,0.708161,-0.0326814,5.18624
M0031A,3.07,93.97,12.70,-2.58368,0.622137,2.01806,6.69338
M0031A,3.17,94.07,12.72,3.86109,-0.813702,2.27073,5.51365
M0031A,3.27,94.17,12.75,-2.50653,2.5486,-0.178371,6.07629
M0031A,3.37,94.27,12.77,10.7834,2.44124,0.040974,5.86509
M0031A,3.47,94.37,12.80,18.4318,0.268362,0.841023,6.11295
M0031A,3.57,94.47,12.82,9.57558,-0.210232,1.51072,5.70793
M0031A,3.67,94.57,12.85,9.19733,0.962815,-0.0276719,5.92084
M0031A,3.77,94.67,12.87,7.34672,-0.922847,1.57641,4.19345
M0031A,3.87,94.77,12.90,-1.03695,-0.969676,2.74943,4.73935
M0031A,3.97,94.87,12.92,5.32374,-0.419057,1.98611,5.32934
M0031A,4.07,94.97,12.95,-1.51698,-0.0841288,1.43573,4.21189
M0031A,4.17,95.07,12.97,13.8148,1.94503,0.181738,7.61196
M0031A,4.27,95.17,13.00,-32.292,3.27326,1.70573,5.53986
M0031A,4.37,95.27,13.02,-4.0987,2.63816,0.205574,6.66047
M0031A,4.47,95.37,13.04,13.6473,1.83087,0.595316,7.83795
M0031A,4.57,95.47,13.07,4.62786,2.2388,-0.0897565,6.21199
M0031A,4.67,95.57,13.09,15.08,0.548737,-0.00864167,4.599
M0031A,4.77,95.67,13.12,3.59377,-0.94748,1.76796,3.81641
M0031A,4.87,95.77,13.14,6.10164,1.60607,-0.438928,4.41467
M0031A,4.97,95.87,13.17,15.1958,-0.0569744,0.238744,3.43163
M0031A,5.07,95.97,13.19,-1.3574,0.236062,0.874426,2.4784
M0031A,5.17,96.07,13.22,6.84181,1.02003,-0.0181662,3.19609
M0031A,5.27,96.17,13.24,-1.79873,1.0099,-0.232854,2.66613
M0031A,5.37,96.27,13.27,-10.4746,1.96751,-0.0251044,3.41978
M0031A,5.47,96.37,13.29,9.38848,1.24422,-0.0166206,4.36813
M0031A,5.57,96.47,13.32,2.11267,1.12989,0.446498,4.9559
M0031A,5.67,96.57,13.34,-2.47675,1.29236,0.602144,4.38167
