,ALL GBR,southern GBR,Capricorn channel,southern-central GBR,northern-central GBR,northern GBR,sl
1,3021.3370845648296,391.987244553672,829.586221753368,831.861658429266,412.0922049702,552.6937113439001,-130.0
2,2944.3600666722864,325.358550593216,745.1625542196871,846.1782885585229,411.66000368942,552.2546716827,-125.0
3,2961.0363997925033,280.838976358856,749.6609747704571,854.5289358061101,413.31632428868,552.0059457711001,-120.0
4,3078.9416725435353,278.801721168417,857.6777300599979,851.6377243449599,416.17725727625,552.53941256729,-115.0
5,3288.5914326950015,276.641296901556,1046.94240461562,867.485849834466,418.61808924916,546.4058830022,-110.0
6,3198.358726950845,284.54315931446604,930.5501444077851,696.1496659957339,420.73625417799997,542.9544030701,-105.0
7,3593.14675104605,297.646747320909,1295.3855666384632,921.631028083438,422.24713786133,543.4099652939,-100.0
8,3706.9071050052044,282.821641027513,1318.673108435,1020.433808737608,423.49089644706,544.3696236177001,-95.0
9,4150.704590335664,283.109090265527,1616.8597232981099,1182.25504955843,432.28088261937,541.9512414713,-90.0
10,4805.460601481325,284.157108002986,1958.4339799135112,1487.516841989373,456.34862632474,540.6733334353299,-85.0
11,6128.752373280299,294.66675035366,2249.2366007418827,2584.163014445785,512.8480345869201,529.8520162113,-80.0
12,8941.24765227985,305.877156095764,2862.2829584074716,4748.240787931808,716.39278974033,547.9132045411101,-75.0
13,12433.294645401931,354.90203253682193,4163.204630246923,6904.854151102388,1078.47164343531,550.1537387734,-70.0
14,15454.818440447456,607.561196698787,5371.3870827855435,9136.721307104292,1327.9270425284299,575.17021706947,-65.0
15,17861.759016226555,682.2577354355099,6924.591262826614,10549.64685828082,1564.44990742059,637.05652742052,-60.0
16,19922.7158503021,892.038543864493,7732.48194221793,12063.466678560664,1796.55836391061,727.92126019936,-55.0
17,22728.933755227055,1522.3837579173282,8522.958871176304,13253.564942700075,2281.53280283782,1153.976909737601,-50.0
18,24873.032167606765,1628.568343772162,8264.657245090197,12385.427935179536,3224.2730156607995,2400.5156764689677,-45.0
19,31418.616402229345,2307.410651621266,9039.772144734601,12413.473608948065,4110.91220629634,6243.004057673453,-40.0
20,39581.45662010025,2329.577031752156,9253.860113343959,12764.669787539699,4565.65678910527,10983.963122524992,-35.0
21,44538.30756548719,2391.6868589488668,9072.476053556718,12440.106568504369,4645.9368176609005,13356.788522142255,-30.0
22,43459.73401960677,2095.888435233914,9305.141174330553,12285.286897536416,4595.29263129977,12936.897645134013,-25.0
23,35507.616722812236,1395.8162918942521,8934.535092249042,11713.430151591,4236.78625852959,7313.016147833527,-20.0
24,30164.938557456408,1137.1184020442502,8087.332840857816,10513.930510467246,3969.557815585241,4903.947518706179,-15.0
25,25821.913516037104,1065.6804598992671,6767.995800401697,8556.992330916624,3885.5113014718204,4049.758214763671,-10.0
26,21227.849157621244,1175.306361517637,5730.477046249751,6596.250650466769,3329.3603041044803,3031.2899634633063,-5.0
27,10426.351670588898,1878.2227580819106,3865.8393098988527,3162.95192908413,777.3096012320201,1108.0773642678068,0.0
