,age,nominal esl (m),sealevel,2 sigma error esl
0,0.0,0.0,0.0,0.0
1,0.122,-0.21,-0.16,0.07
2,0.192,-0.21,-0.16,0.07
3,0.296,-0.21,-0.16,0.07
4,0.365,-0.21,-0.16,0.07
5,0.435,-0.21,-0.16,0.07
6,0.504,-0.21,-0.17,0.07
7,0.574,-0.21,-0.17,0.07
8,0.643,-0.21,-0.17,0.07
9,0.712,-0.21,-0.18,0.07
10,0.782,-0.21,-0.18,0.07
11,0.851,-0.21,-0.19,0.07
12,0.921,-0.21,-0.19,0.07
13,0.99,-0.21,-0.2,0.07
14,1.06,-0.21,-0.2,0.07
15,1.129,-0.22,-0.2,0.07
16,1.199,-0.22,-0.21,0.07
17,1.268,-0.23,-0.21,0.07
18,1.372,-0.23,-0.22,0.07
19,1.442,-0.24,-0.22,0.07
20,1.511,-0.24,-0.23,0.07
21,1.581,-0.25,-0.23,0.07
22,1.65,-0.25,-0.24,0.07
23,1.72,-0.26,-0.24,0.07
24,1.789,-0.26,-0.24,0.07
25,1.859,-0.27,-0.25,0.07
26,1.928,-0.28,-0.25,0.07
27,1.997,-0.28,-0.26,0.07
28,2.067,-0.29,-0.26,0.07
29,2.136,-0.29,-0.27,0.07
30,2.206,-0.3,-0.27,0.07
31,2.275,-0.3,-0.27,0.07
32,2.345,-0.33,-0.28,0.07
33,2.414,-0.38,-0.29,0.07
34,2.484,-0.42,-0.32,0.07
35,2.553,-0.47,-0.35,0.07
36,2.623,-0.52,-0.38,0.07
37,2.692,-0.56,-0.41,0.07
38,2.762,-0.61,-0.44,0.07
39,2.831,-0.65,-0.47,0.07
40,2.901,-0.7,-0.51,0.07
41,2.97,-0.74,-0.54,0.07
42,3.039,-0.79,-0.57,0.07
43,3.109,-0.83,-0.6,0.07
44,3.178,-0.88,-0.63,0.07
45,3.248,-0.93,-0.67,0.07
46,3.317,-0.97,-0.7,0.07
47,3.387,-1.02,-0.73,0.07
48,3.456,-1.06,-0.76,0.07
49,3.526,-1.11,-0.8,0.07
50,3.595,-1.15,-0.83,0.07
51,3.665,-1.2,-0.86,0.07
52,3.734,-1.26,-0.89,0.07
53,3.803,-1.32,-0.93,0.07
54,3.873,-1.38,-0.96,0.07
55,3.942,-1.44,-0.99,0.07
56,4.012,-1.5,-1.02,0.07
57,4.081,-1.56,-1.06,0.07
58,4.151,-1.61,-1.09,0.07
59,4.22,-1.67,-1.12,0.07
60,4.29,-1.73,-1.15,0.07
61,4.359,-1.79,-1.19,0.07
62,4.429,-1.85,-1.22,0.07
63,4.498,-1.91,-1.25,0.07
64,4.568,-1.97,-1.28,0.07
65,4.637,-2.03,-1.32,0.07
66,4.707,-2.09,-1.36,0.07
67,4.776,-2.15,-1.43,0.07
68,4.845,-2.21,-1.52,0.07
69,4.915,-2.26,-1.6,0.07
70,4.984,-2.32,-1.69,0.07
71,5.054,-2.38,-1.77,0.07
72,5.123,-2.44,-1.86,0.07
73,5.193,-2.5,-1.94,0.07
74,5.262,-2.56,-2.03,0.07
75,5.332,-2.62,-2.11,0.07
76,5.401,-2.68,-2.2,0.07
77,5.47,-2.74,-2.28,0.07
78,5.54,-2.8,-2.37,0.07
79,5.609,-2.86,-2.45,0.0
80,5.679,-2.91,-2.54,0.07
81,5.748,-2.97,-2.62,0.07
82,5.818,-3.03,-2.71,0.07
83,5.887,-3.09,-2.79,0.07
84,5.957,-3.15,-2.88,0.07
85,6.026,-3.23,-2.96,0.07
86,6.096,-3.33,-3.05,0.07
87,6.165,-3.43,-3.13,0.07
88,6.235,-3.53,-3.22,0.07
89,6.304,-3.63,-3.3,0.07
90,6.373,-3.73,-3.39,0.07
91,6.443,-3.83,-3.47,0.07
92,6.512,-3.93,-3.56,0.07
93,6.582,-4.04,-3.64,0.07
94,6.651,-4.14,-3.73,0.07
95,6.721,-4.24,-3.81,0.07
96,6.79,-4.34,-4.01,0.14
97,6.86,-4.76,-4.46,0.14
98,6.929,-5.24,-4.93,0.14
99,6.999,-5.71,-5.39,0.14
100,7.068,-6.19,-5.86,0.07
101,7.138,-6.66,-6.32,0.07
102,7.207,-7.14,-6.78,0.07
103,7.277,-7.61,-7.25,0.14
104,7.346,-8.09,-7.71,0.14
105,7.415,-8.54,-8.17,0.07
106,7.485,-9.0,-8.64,0.07
107,7.554,-9.45,-9.1,0.14
108,7.624,-9.9,-9.57,0.14
109,7.693,-10.35,-10.03,0.14
110,7.763,-10.81,-10.49,0.22
111,7.832,-11.26,-10.96,0.22
112,7.902,-11.72,-11.43,0.22
113,7.971,-12.39,-11.97,0.22
114,8.04,-13.07,-12.57,0.22
115,8.11,-13.75,-13.17,0.29
116,8.179,-14.43,-13.78,0.43
117,8.249,-15.11,-14.53,0.43
118,8.318,-15.79,-15.39,0.29
119,8.388,-16.47,-16.26,0.22
120,8.457,-17.19,-17.13,0.22
121,8.527,-18.25,-17.99,0.36
122,8.596,-19.32,-18.86,0.58
